dataset	compound_inchikey	canonical_smiles	parent_status	parent_smiles	parent_key	parent_formula
external	JAZJDNUIJLZFSZ-UHFFFAOYSA-N	CC(O)=NC(CSC(F)=C(OCF)C(F)F)C(=O)O	ok	CC(=O)NC(CSC(F)=C(OCF)C(F)F)C(=O)O	JAZJDNUIJLZFSZ-UHFFFAOYSA-N	C9H11F4NO4S
external	JBBNVKWFZYFPIG-UHFFFAOYSA-N	CC(=CCOc1c2ccoc2cc2oc(=O)ccc12)CCC(C)(C)C=O	ok	CC(=CCOc1c2ccoc2cc2oc(=O)ccc12)CCC(C)(C)C=O	JBBNVKWFZYFPIG-UHFFFAOYSA-N	C21H22O5
external	JBCLFWXMTIKCCB-UHFFFAOYSA-N	NCC(O)=NC(Cc1ccccc1)C(=O)O	ok	NCC(=O)NC(Cc1ccccc1)C(=O)O	JBCLFWXMTIKCCB-UHFFFAOYSA-N	C11H14N2O3
external	JBDGDEWWOUBZPM-UHFFFAOYSA-N	Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1	ok	Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1	JBDGDEWWOUBZPM-UHFFFAOYSA-N	C13H18Br2N2O
external	JBFWMELKDTZMHB-UHFFFAOYSA-N	CCCCCCCCCCCCCCCCCC(O)=NC(COC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(OC4OC(CO)C(O)C(OC5(C(=O)O)CC(O)C(N=C(C)O)C(C(O)C(O)CO)O5)C4O)C3CC(C)=O)C(OC3(C(=O)O)CC(O)C(N=C(C)O)C(C(O)C(CO)OC4(C(=O)O)CC(O)C(N=C(C)O)C(C(O)C(O)CO)O4)O3)C2O)C(O)C1O)C(O)CCCCCCCCCCCCCCC	ok	CCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(OC4OC(CO)C(O)C(OC5(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O5)C4O)C3CC(C)=O)C(OC3(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(CO)OC4(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O4)O3)C2O)C(O)C1O)C(O)CCCCCCCCCCCCCCC	JBFWMELKDTZMHB-UHFFFAOYSA-N	C96H168N4O47
external	JBFYFLXEJFQWMU-UHFFFAOYSA-N	N=C(O)CCC(N=C(O)CCC(N)C(=O)O)C(=O)O	ok	NC(=O)CCC(NC(=O)CCC(N)C(=O)O)C(=O)O	JBFYFLXEJFQWMU-UHFFFAOYSA-N	C10H17N3O6
external	JBIJLHTVPXGSAM-UHFFFAOYSA-N	Nc1ccc2ccccc2c1	ok	Nc1ccc2ccccc2c1	JBIJLHTVPXGSAM-UHFFFAOYSA-N	C10H9N
external	JBIMVDZLSHOPLA-UHFFFAOYSA-N	CN(C)CCC=C1c2ccccc2COc2ccc(CC(=O)O)cc21	ok	CN(C)CCC=C1c2ccccc2COc2ccc(CC(=O)O)cc21	JBIMVDZLSHOPLA-UHFFFAOYSA-N	C21H23NO3
external	JBSAZVIMJUOBNB-UHFFFAOYSA-N	COC(=O)C(c1ccccc1Cl)N1CCC2SC(=O)C=C2C1	ok	COC(=O)C(c1ccccc1Cl)N1CCC2SC(=O)C=C2C1	JBSAZVIMJUOBNB-UHFFFAOYSA-N	C16H16ClNO3S
external	JBYNUUNOLLCWRY-UHFFFAOYSA-N	CCN(CC)c1ccc2cc(-c3nnc(-c4ccccc4)s3)c(=O)oc2c1	ok	CCN(CC)c1ccc2cc(-c3nnc(-c4ccccc4)s3)c(=O)oc2c1	JBYNUUNOLLCWRY-UHFFFAOYSA-N	C21H19N3O2S
external	JBYXPOFIGCOSSB-UHFFFAOYSA-N	CCCCCCC=CC=CCCCCCCCC(=O)O	ok	CCCCCCC=CC=CCCCCCCCC(=O)O	JBYXPOFIGCOSSB-UHFFFAOYSA-N	C18H32O2
external	JCCNYMKQOSZNPW-UHFFFAOYSA-N	CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1	ok	CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1	JCCNYMKQOSZNPW-UHFFFAOYSA-N	C22H23ClN2O2
external	JCKYGMPEJWAADB-UHFFFAOYSA-N	O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1	ok	O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1	JCKYGMPEJWAADB-UHFFFAOYSA-N	C14H19Cl2NO2
external	JCLHQFUTFHUXNN-UHFFFAOYSA-N	CCOC(=O)C(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O	ok	CCOC(=O)C(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O	JCLHQFUTFHUXNN-UHFFFAOYSA-N	C22H16O8
external	JDOZJEUDSLGTLU-UHFFFAOYSA-N	CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COP(=O)(O)O	ok	CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COP(=O)(O)O	JDOZJEUDSLGTLU-UHFFFAOYSA-N	C21H29O8P
external	JECYUBVRTQDVAT-UHFFFAOYSA-N	CC(=O)c1ccccc1O	ok	CC(=O)c1ccccc1O	JECYUBVRTQDVAT-UHFFFAOYSA-N	C8H8O2
external	JEEOZKGYSUUAAU-UHFFFAOYSA-N	CCc1csc(C)n1	ok	CCc1csc(C)n1	JEEOZKGYSUUAAU-UHFFFAOYSA-N	C6H9NS
external	JEGUVXRNDRXUDN-UHFFFAOYSA-N	C=CC(=C)CCC1C(=C)CCC2C(C)(C(=O)O)CCCC12C	ok	C=CC(=C)CCC1C(=C)CCC2C(C)(C(=O)O)CCCC12C	JEGUVXRNDRXUDN-UHFFFAOYSA-N	C20H30O2
external	JEJFTTRHGBKKEI-UHFFFAOYSA-N	COc1cc2c(c(OC)c1OC)-c1c(cc(OC)c(OC)c1OC)CC(C)C(C)C2	ok	COc1cc2c(c(OC)c1OC)-c1c(cc(OC)c(OC)c1OC)CC(C)C(C)C2	JEJFTTRHGBKKEI-UHFFFAOYSA-N	C24H32O6
external	JEYCTXHKTXCGPB-UHFFFAOYSA-N	Cc1ccccc1-n1c(C)nc2ccccc2c1=O	ok	Cc1ccccc1-n1c(C)nc2ccccc2c1=O	JEYCTXHKTXCGPB-UHFFFAOYSA-N	C16H14N2O
